tag,uptimeMillis,rms,peak,dbfs,zeroRatio,readResult,callState,audioMode,outputDevice
AAWAZ_DIAG,186819606,578.8,2013,-35.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186820106,573.6,2220,-35.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186820605,666.6,2164,-33.8,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186821107,729.5,2618,-33.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186821607,745.7,3115,-32.9,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186822106,613.0,2272,-34.6,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186822612,673.1,2960,-33.7,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186823116,612.5,2404,-34.6,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186823616,854.4,4015,-31.7,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186824115,565.9,2451,-35.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186824615,600.9,3070,-34.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186825116,612.7,2070,-34.6,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186825613,741.1,2478,-32.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186826115,500.7,1957,-36.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186826614,639.8,2468,-34.2,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186827117,476.6,1775,-36.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186827614,591.7,2035,-34.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186828114,522.7,1883,-35.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186828616,586.7,2312,-34.9,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186829113,732.7,3081,-33.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186829609,657.6,2172,-33.9,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186830117,666.2,2430,-33.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186830614,629.8,2652,-34.3,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186831114,725.0,2789,-33.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186831614,581.2,3123,-35.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186832119,853.2,3039,-31.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186832615,928.0,3745,-31.0,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186833111,813.9,3683,-32.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186833616,1343.9,5922,-27.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186834112,877.9,3160,-31.4,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186834614,763.1,3196,-32.7,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186835116,735.9,2828,-33.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186835613,585.1,2472,-35.0,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186836113,664.4,2399,-33.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186836614,531.7,2866,-35.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186837114,564.6,1974,-35.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186837613,548.1,2532,-35.5,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186838115,564.6,2090,-35.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186838614,554.1,2148,-35.4,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186839114,628.4,2594,-34.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186839614,688.4,2545,-33.6,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186840113,647.2,2621,-34.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186840615,751.4,2442,-32.8,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,204495160,0.0,0,-999.0,1.000,320,IDLE,IN_COMMUNICATION,BLUETOOTH_SCO
AAWAZ_DIAG,204495660,0.0,0,-999.0,1.000,320,IDLE,IN_COMMUNICATION,BLUETOOTH_SCO
